"","study_name","sample_number","species","region","island","stage","individual_id","clutch_completion","date_egg","culmen_length_mm","culmen_depth_mm","flipper_length_mm","body_mass_g","sex"
"1","PAL0708",1,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N61A1","No",2007-11-19,46.5,17.9,192,3500,"Female"
"2","PAL0708",2,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N61A2","No",2007-11-19,50,19.5,196,3900,"Male"
"3","PAL0708",3,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N62A1","Yes",2007-11-26,51.3,19.2,193,3650,"Male"
"4","PAL0708",4,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N62A2","Yes",2007-11-26,45.4,18.7,188,3525,"Female"
"5","PAL0708",5,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N64A1","Yes",2007-11-21,52.7,19.8,197,3725,"Male"
"6","PAL0708",6,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N64A2","Yes",2007-11-21,45.2,17.8,198,3950,"Female"
"7","PAL0708",7,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N66A1","Yes",2007-11-28,46.1,18.2,178,3250,"Female"
"8","PAL0708",8,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N66A2","Yes",2007-11-28,51.3,18.2,197,3750,"Male"
"9","PAL0708",9,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N67A1","Yes",2007-11-21,46,18.9,195,4150,"Female"
"10","PAL0708",10,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N67A2","Yes",2007-11-21,51.3,19.9,198,3700,"Male"
"11","PAL0708",11,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N68A1","Yes",2007-11-28,46.6,17.8,193,3800,"Female"
"12","PAL0708",12,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N68A2","Yes",2007-11-28,51.7,20.3,194,3775,"Male"
"13","PAL0708",13,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N69A1","Yes",2007-11-26,47,17.3,185,3700,"Female"
"14","PAL0708",14,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N69A2","Yes",2007-11-26,52,18.1,201,4050,"Male"
"15","PAL0708",15,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N70A1","Yes",2007-11-22,45.9,17.1,190,3575,"Female"
"16","PAL0708",16,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N70A2","Yes",2007-11-22,50.5,19.6,201,4050,"Male"
"17","PAL0708",17,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N71A1","No",2007-11-30,50.3,20,197,3300,"Male"
